"hfpxzc href","qBF1Pd","MW4etd","UY7F9","W4Efsd","W4Efsd 2","W4Efsd 3","W4Efsd 4","W4Efsd 5","FQ2IWe src","ah5Ghc","M4A5Cf","ah5Ghc 2"
"https://www.google.co.th/maps/place/%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%87%E0%B8%A1%E0%B8%AD@%E0%B8%84%E0%B8%A3%E0%B8%B1%E0%B8%A7%E0%B8%9E%E0%B8%A3%E0%B8%95%E0%B8%B0%E0%B8%A7%E0%B8%B1%E0%B8%99/data=!4m7!3m6!1s0x313c0d4f4c1cbfdb:0xd34d317c4783e7f!8m2!3d17.3944437!4d104.724082!16s%2Fg%2F11j3yqrjh8!19sChIJ278cTE8NPDERfz54xBfTNA0?authuser=0&hl=th&rclk=1","เตี๋ยวข้างมอ@ครัวพรตะวัน","5.0","(1)","ร้านก๋วยเตี๋ยว","·","·","เปิด","⋅ ปิด 22:00","https://lh5.googleusercontent.com/p/AF1QipOO84SbCfhou-3nuLmxLo2rGWrWx7bSPhtovIDq=w122-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/Home+Paekna+aeG/data=!4m7!3m6!1s0x313c0b84b0851f23:0x5e79b70c89d844e4!8m2!3d17.427794!4d104.7053441!16s%2Fg%2F11h6m70dpr!19sChIJIx-FsIQLPDER5ETYiQy3eV4?authuser=0&hl=th&rclk=1","Home Paekna aeG","5.0","(4)","ญี่ปุ่น","·","CPH4+449","","","https://lh5.googleusercontent.com/p/AF1QipORYpa6yxi5neDINqS68wznlw3xOFkRRTFZR9kM=w80-h177-k-no","","",""
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99+Chicken+NKP@%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B9%84%E0%B8%81%E0%B9%88/data=!4m7!3m6!1s0x313c0df47f1c3f81:0xac3ab88c1529c78b!8m2!3d17.3914739!4d104.7278502!16s%2Fg%2F11v5_5gp9x!19sChIJgT8cf_QNPDERi8cpFYy4Oqw?authuser=0&hl=th&rclk=1","ร้าน Chicken NKP@ข้าวมันไก่","5.0","(1)","ร้านอาหาร","·","บ้าน 130 หมู่ 8","เปิด","⋅ ปิด 21:30","https://lh5.googleusercontent.com/p/AF1QipN6eShoDDWv_HCW4gLj5W_3yip0aKTcKZ2LAk3z=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","รับสินค้าโดยไม่ต้องลงจากรถ"
"https://www.google.co.th/maps/place/%E0%B9%80%E0%B8%AA%E0%B9%89%E0%B8%99%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B8%88%E0%B8%B1%E0%B9%8A%E0%B8%9A%E0%B8%99%E0%B8%84%E0%B8%A3%E0%B8%9E%E0%B8%99%E0%B8%A1/data=!4m7!3m6!1s0x313c0df39a685733:0x203d53f5b87ee689!8m2!3d17.3798237!4d104.6821048!16s%2Fg%2F11h04fb29c!19sChIJM1domvMNPDERieZ-uPVTPSA?authuser=0&hl=th&rclk=1","เส้นก๋วยจั๊บนครพนม","5.0","(1)","ร้านอาหาร","·","เลขที่ 17 ถนน ปิยะ ใน","ใกล้ปิดแล้ว","⋅ 20:00 ⋅ เปิด 09:00 พฤ.","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6JGKzjfEH5B0WPa7cYkzfg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=152.23332&pitch=0&thumbfov=100","สั่งกลับบ้าน","",""
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AD%E0%B8%B7%E0%B8%A1%E0%B8%A1+%E0%B8%AD%E0%B8%B4%E0%B9%88%E0%B8%A1%E0%B8%88%E0%B8%B1%E0%B8%87/data=!4m7!3m6!1s0x313c0c740a5ed5c9:0x2b9d5bc7d84c9fa!8m2!3d17.3940859!4d104.7241919!16s%2Fg%2F11gf5s3gpb!19sChIJydVeCnQMPDER-smEfbzVuQI?authuser=0&hl=th&rclk=1","ร้านอืมม อิ่มจัง","4.0","(2)","ร้านอาหาร","·","405 ม.8 ต.นาราชควาย อ.เมือง จ","เปิด","⋅ ปิด 22:00","https://lh5.googleusercontent.com/p/AF1QipOyxRJ3hbFMvVo90cjbxgYBRXmZwFAlmvxXUVjR=w163-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2+%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7+%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3+%E0%B8%9B%E0%B8%A5%E0%B8%B2%E0%B9%80%E0%B8%9C%E0%B8%B2/data=!4m7!3m6!1s0x313c0d9f75258b47:0xcb4be34ba6be77e4!8m2!3d17.384432!4d104.699042!16s%2Fg%2F11swpll00v!19sChIJR4sldZ8NPDER5He-pkvjS8s?authuser=0&hl=th&rclk=1","ร้านแม่น้อย ก๋วยเตี๋ยว ส้มตำ ปลาเผา","4.5","(6)","ร้านก๋วยเตี๋ยว","·","9MMX+QJF บ้าน","","","https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4jwpHoJjMD9ND7jINYIFbQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=231.38219&pitch=0&thumbfov=100","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%AA%E0%B9%89%E0%B8%A1%E0%B8%95%E0%B8%B3%E0%B8%96%E0%B8%B2%E0%B8%94%E0%B9%80%E0%B8%99%E0%B8%B4%E0%B8%99%E0%B8%AA%E0%B8%B0%E0%B8%AD%E0%B8%B2%E0%B8%94%E2%80%8B+%E0%B8%A5%E0%B8%B2%E0%B8%9A%E2%80%8B+%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%A2%E0%B8%95%E0%B9%89%E0%B8%A1/data=!4m7!3m6!1s0x313c0d0182330fcb:0x12614f30ce779709!8m2!3d17.3895839!4d104.7264871!16s%2Fg%2F11j7ql3krq!19sChIJyw8zggENPDERCZd3zjBPYRI?authuser=0&hl=th&rclk=1","ส้มตำถาดเนินสะอาด​ ลาบ​ ก้อยต้ม","5.0","(1)","ร้านอาหาร","·","9PQG+RHQ นพ.2011","เปิด","⋅ ปิด 21:30","https://lh5.googleusercontent.com/p/AF1QipO8xoh6kLFksqkb1A7oattHDXMvzKQW7_Su9_pM=w80-h166-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B9%81%E0%B8%88%E0%B9%88%E0%B8%A7%E0%B8%AE%E0%B9%89%E0%B8%AD%E0%B8%99+%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3/data=!4m7!3m6!1s0x313c0da1534167d7:0xd1a5ac840bdc7427!8m2!3d17.3835026!4d104.7350172!16s%2Fg%2F11kjpfjj2j!19sChIJ12dBU6ENPDERJ3TcC4SspdE?authuser=0&hl=th&rclk=1","แจ่วฮ้อน มหานคร","5.0","(1)","ร้านอาหาร","","","เปิด","⋅ ปิด 00:00","https://lh5.googleusercontent.com/p/AF1QipMaf85xfUqhBM3I8AysZbQfddjkVyOkH1LXgWKk=w80-h106-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B8%A2%E0%B8%B2%E0%B8%A2%E0%B8%99%E0%B8%B2%E0%B8%8E+%E0%B8%A5%E0%B8%B2%E0%B8%9A+%E0%B8%81%E0%B9%89%E0%B8%AD%E0%B8%A2+%E0%B8%95%E0%B9%89%E0%B8%A1/data=!4m7!3m6!1s0x313c0df67003f96b:0xfde8f9376ef444cf!8m2!3d17.3996488!4d104.6835402!16s%2Fg%2F11tct712wb!19sChIJa_kDcPYNPDERz0T0bjf56P0?authuser=0&hl=th&rclk=1","ก๋วยเตี๋ยวยายนาฎ ลาบ ก้อย ต้ม","5.0","(2)","ร้านอาหาร","·","9MXM+VC","ใกล้ปิดแล้ว","⋅ 19:30 ⋅ เปิด 06:00 พฤ.","https://lh5.googleusercontent.com/p/AF1QipP-GeBUxVQGf06Zq9HpwVstdMdtDbHbGQ8bUQU5=w163-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
"https://www.google.co.th/maps/place/%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87%E0%B9%80%E0%B8%9B%E0%B9%87%E0%B8%94%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%A7%E0%B8%A1%E0%B8%B1%E0%B8%99%E0%B9%84%E0%B8%81%E0%B9%88%E0%B8%81%E0%B9%8B%E0%B8%A7%E0%B8%A2%E0%B9%80%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%A2%E0%B8%A7%E0%B9%84%E0%B8%81%E0%B9%88/data=!4m7!3m6!1s0x313c0d3fd2dec473:0x6bf576bddd7ab6a2!8m2!3d17.3891731!4d104.7267139!16s%2Fg%2F11h2c2ljl5!19sChIJc8Te0j8NPDERorZ63b129Ws?authuser=0&hl=th&rclk=1","ร้านหลวงเป็ดข้าวมันไก่ก๋วยเตี๋ยวไก่","4.4","(7)","ร้านอาหาร","·","นพ.2011","เปิด","⋅ ปิด 21:00","https://lh5.googleusercontent.com/p/AF1QipO3HFht1Bz5rjh4SZuvPb7yzlpodG3VnyusMgRt=w163-h92-k-no","นั่งรับประทานที่ร้าน","·","สั่งกลับบ้าน"
